CLOUD_COVER,ID_completo,EARTH_SUN_DISTANCE,Fecha,ID,IMAGE_QUALITY_TIER,INDEX_ID,SUN_AZIMUTH,SUN_ELEVATION,Satelite,Sensor,WRS_PATH,WRS_ROW
18.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20001004,1.0001467,2000-10-04,1_1_2_LE07_198030_20001004,,LE07_198030_20001004,155.44366751,39.3243184,LANDSAT_7,ETM,198,30
81.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20001020,0.9955909,2000-10-20,1_1_2_LE07_198030_20001020,,LE07_198030_20001020,158.76290276,33.88915393,LANDSAT_7,ETM,198,30
77.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20001105,0.9913508,2000-11-05,1_1_2_LE07_198030_20001105,,LE07_198030_20001105,160.70336566,28.83169407,LANDSAT_7,ETM,198,30
36.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20001121,0.9877579,2000-11-21,1_1_2_LE07_198030_20001121,,LE07_198030_20001121,161.28338179,24.639001,LANDSAT_7,ETM,198,30
53.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20001215,0.9841915,2000-12-15,1_1_1_LT05_198030_20001215,,LT05_198030_20001215,157.35831672,20.18549721,LANDSAT_5,TM,198,30
87.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20001223,0.9835916,2000-12-23,1_1_2_LE07_198030_20001223,,LE07_198030_20001223,159.05441874,20.5436796,LANDSAT_7,ETM,198,30
6.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20001231,0.9833122,2000-12-31,1_1_1_LT05_198030_20001231,,LT05_198030_20001231,155.48921241,19.84266898,LANDSAT_5,TM,198,30
81.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20010108,0.9833591,2001-01-08,1_1_2_LE07_198030_20010108,,LE07_198030_20010108,156.88647707,21.19552303,LANDSAT_7,ETM,198,30
64.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20010116,0.9837312,2001-01-16,1_1_1_LT05_198030_20010116,,LT05_198030_20010116,153.18321007,21.38337367,LANDSAT_5,TM,198,30
93.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20010124,0.9844209,2001-01-24,1_1_2_LE07_198030_20010124,,LE07_198030_20010124,154.53829957,23.69978232,LANDSAT_7,ETM,198,30
84.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20010209,0.9866894,2001-02-09,1_1_2_LE07_198030_20010209,,LE07_198030_20010209,152.27403682,27.80650719,LANDSAT_7,ETM,198,30
25.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20010217,0.9882215,2001-02-17,1_1_1_LT05_198030_20010217,,LT05_198030_20010217,148.52056621,29.38810984,LANDSAT_5,TM,198,30
66.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20010225,0.9899788,2001-02-25,1_1_2_LE07_198030_20010225,,LE07_198030_20010225,150.23804794,33.12656724,LANDSAT_7,ETM,198,30
57.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20010305,0.9919261,2001-03-05,1_1_1_LT05_198030_20010305,,LT05_198030_20010305,146.42553274,35.09268692,LANDSAT_5,TM,198,30
76.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20010313,0.9940244,2001-03-13,1_1_2_LE07_198030_20010313,,LE07_198030_20010313,148.37680159,39.17159011,LANDSAT_7,ETM,198,30
97.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20010321,0.9962324,2001-03-21,1_1_1_LT05_198030_20010321,,LT05_198030_20010321,144.37337331,41.27393877,LANDSAT_5,TM,198,30
79.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20010329,0.9985071,2001-03-29,1_1_2_LE07_198030_20010329,,LE07_198030_20010329,146.46111175,45.42157343,LANDSAT_7,ETM,198,30
