ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description,Error
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20091005,2009-10-05,2009-10-05,LANDSAT_5,0.03,0.03,0.03,0.03,0.03,0.03,,,0.00,2009_10_05-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20091106,2009-11-06,2009-11-06,LANDSAT_5,33.40,33.40,3.56,2.07,0.88,0.88,1799.00,1815.00,0.00,2009_11_06-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20091122,2009-11-22,2009-11-22,LANDSAT_5,22.37,22.37,1.16,0.20,0.20,0.20,1815.00,,0.00,2009_11_22-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20091208,2009-12-08,2009-12-08,LANDSAT_5,0.63,0.63,0.63,0.63,0.63,0.63,,,0.00,2009_12_08-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100109,2010-01-09,2010-01-09,LANDSAT_5,31.84,31.84,3.60,0.80,0.80,0.80,1639.00,,0.00,2010_01_09-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100125,2010-01-25,2010-01-25,LANDSAT_5,14.93,14.93,0.08,0.08,0.08,0.08,,,0.00,2010_01_25-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100210,2010-02-10,2010-02-10,LANDSAT_5,0.38,0.38,0.38,0.38,0.38,0.38,,,0.00,2010_02_10-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100226,2010-02-26,2010-02-26,LANDSAT_5,23.13,23.13,3.29,1.83,1.26,0.99,1607.00,1623.00,1.00,2010_02_26-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100314,2010-03-14,2010-03-14,LANDSAT_5,2.37,2.37,0.15,0.15,0.15,0.15,,,0.00,2010_03_14-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100330,2010-03-30,2010-03-30,LANDSAT_5,85.47,85.47,64.99,53.81,53.81,4.60,1475.00,1515.00,5.00,2010_03_30-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100415,2010-04-15,2010-04-15,LANDSAT_5,,,,,,,,,,,Number.subtract: Parameter 'left' is required and may not be null.
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100517,2010-05-17,2010-05-17,LANDSAT_5,7.84,7.84,1.17,0.92,0.92,0.92,2003.00,,0.00,2010_05_17-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100602,2010-06-02,2010-06-02,LANDSAT_5,91.74,91.74,19.92,10.19,10.19,0.00,1655.00,1687.00,3.00,2010_06_02-Landsat5,
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100618,2010-06-18,2010-06-18,LANDSAT_5,90.21,90.21,58.64,44.58,44.12,21.48,1779.00,1859.00,5.00,2010_06_18-Landsat5,
