ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20101008,2010-10-08,2010-10-08,LANDSAT_5,96.15,96.15,25.77,18.05,17.69,0.01,1591.00,1607.00,1,2010_10_08-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20101024,2010-10-24,2010-10-24,LANDSAT_5,100.00,100.00,64.49,54.85,54.85,0.00,1463.00,1511.00,4,2010_10_24-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20101109,2010-11-09,2010-11-09,LANDSAT_5,72.40,72.40,9.01,2.79,2.79,0.18,1639.00,1655.00,5,2010_11_09-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20101125,2010-11-25,2010-11-25,LANDSAT_5,3.22,3.22,0.20,0.20,0.20,0.20,,,0,2010_11_25-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20101211,2010-12-11,2010-12-11,LANDSAT_5,1.51,1.51,0.09,0.09,0.09,0.09,,,0,2010_12_11-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20110128,2011-01-28,2011-01-28,LANDSAT_5,40.57,40.57,1.64,0.74,0.74,0.74,1735.00,,0,2011_01_28-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20110301,2011-03-01,2011-03-01,LANDSAT_5,55.53,55.53,23.15,17.39,17.21,14.31,1607.00,1623.00,5,2011_03_01-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20110402,2011-04-02,2011-04-02,LANDSAT_5,6.12,6.12,0.33,0.33,0.33,0.33,,,0,2011_04_02-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20110418,2011-04-18,2011-04-18,LANDSAT_5,30.85,30.85,1.48,0.77,0.77,0.77,2199.00,,0,2011_04_18-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20110504,2011-05-04,2011-05-04,LANDSAT_5,19.66,19.66,1.42,0.65,0.65,0.65,2311.00,,0,2011_05_04-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20110520,2011-05-20,2011-05-20,LANDSAT_5,99.75,99.75,83.89,67.11,67.11,8.09,1483.00,1627.00,5,2011_05_20-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20110605,2011-06-05,2011-06-05,LANDSAT_5,97.56,97.56,56.06,35.53,35.46,32.61,1527.00,1623.00,5,2011_06_05-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20110621,2011-06-21,2011-06-21,LANDSAT_5,52.56,52.56,24.87,18.69,17.75,0.00,1751.00,1847.00,2,2011_06_21-Landsat5
