Temporada,Primera_nevada_ge15,Inicio_robusto_ge15,Fin_robusto_ge15,Dias_nieve_suelo,Max_nieve_pct,Fecha_max_nieve,Media_nieve_pct,Mediana_nieve_pct,P25_nieve_pct,P75_nieve_pct,Dias_ge5,Dias_ge10,Dias_ge25,Dias_ge50,Snowline_media_m,Snowline_mediana_m,Snowline_p25_m,Snowline_p75_m,Snowline_min_m,Fecha_snowline_min,Snowline_max_m,Fecha_snowline_max,Snowline_media_pond_nieve_m,Snowline_media_mensual_octubre,Snowline_media_mensual_noviembre,Snowline_media_mensual_diciembre,Snowline_media_mensual_enero,Snowline_media_mensual_febrero,Snowline_media_mensual_marzo,Snowline_media_mensual_abril,Snowline_media_mensual_mayo,Snowline_media_mensual_junio,Media_Pct_cob_nevada_Aguas,Media_Pct_cob_nevada_Arbolado_Claro,Media_Pct_cob_nevada_Arbolado_Denso,Media_Pct_cob_nevada_Canchales,Media_Pct_cob_nevada_Cultivos,Media_Pct_cob_nevada_Matorrales,Media_Pct_cob_nevada_Prados,Media_Pct_cob_nevada_Roquedos,Media_Pct_cob_nevada_Vias_Comunicacion,Media_Pct_cob_nevada_Zonas_Deportivas,Media_Pct_cob_nevada_Zonas_Desnudas,Media_Pct_cob_nevada_Zonas_Urbanas
2012/2013,2013-04-23,2013-04-23,2013-06-26,64.00,62.99,2013-04-23,45.42,56.88,36.63,59.93,3,3,2,2,2211.67,2166.00,2134.50,2266.00,2103.00,2013-04-23,2366.00,2013-06-26,2160.92,,,,,,,2103.00,2166.00,2366.00,82.88,52.58,21.93,78.41,5.02,44.09,63.42,70.57,12.56,0.00,51.04,3.03
2013/2014,2013-10-16,2013-12-03,2014-05-12,160.00,91.75,2013-12-03,54.88,58.80,28.53,82.50,6,6,4,4,1936.83,1948.50,1775.75,2142.25,1614.00,2013-10-16,2185.00,2014-05-12,1910.63,1614.00,2166.00,1759.00,,,1826.00,2071.00,2185.00,,71.62,58.86,44.80,68.95,29.48,50.74,63.97,66.29,39.48,25.26,59.30,26.40
2014/2015,2014-11-20,2014-11-20,2015-06-16,208.00,96.92,2015-02-08,60.87,67.84,53.31,80.19,11,10,9,8,1814.55,1825.00,1747.00,1934.00,1525.00,2014-10-19,2052.00,2015-04-13,1855.32,1552.50,1825.00,1840.00,1806.00,1698.00,1945.00,2052.00,1796.00,1948.00,77.89,64.11,52.57,75.71,34.17,54.10,68.14,69.65,45.55,29.81,62.32,37.64
2015/2016,2015-11-07,2015-11-07,2016-06-02,208.00,89.84,2015-11-23,68.48,78.04,53.77,86.27,11,11,11,8,1911.27,1832.00,1805.00,2019.50,1672.00,2015-11-07,2252.00,2016-05-17,1882.46,,1732.50,1895.00,1832.00,,1804.00,2005.00,2252.00,2177.00,87.34,72.96,56.58,88.76,37.00,62.09,77.85,80.37,51.91,34.64,72.05,43.91
2016/2017,2016-11-09,2016-11-09,2017-05-23,195.00,100.26,2017-01-28,46.79,40.42,22.54,71.79,24,22,19,11,2146.42,2198.50,1840.50,2318.75,1537.00,2016-10-08,3000.00,2017-06-12,1963.61,1537.00,1753.00,1747.50,1723.50,,1942.50,2153.40,2302.50,2687.50,74.58,47.02,32.64,69.88,21.64,44.67,56.97,58.18,28.21,19.16,54.54,22.97
2017/2018,2017-11-09,2017-11-09,2018-05-28,200.00,97.49,2018-02-16,58.21,66.81,47.30,77.01,65,60,60,54,2110.36,2030.00,1935.25,2178.25,1677.00,2018-02-16,3000.00,2017-10-03,1959.63,3000.00,2165.33,1941.67,1916.00,1846.00,1993.70,2090.55,2221.30,2476.11,74.51,71.42,40.54,78.72,37.48,58.50,74.69,70.60,39.29,25.86,64.52,24.97
2018/2019,2018-11-02,2018-11-02,2019-05-31,210.00,92.66,2019-01-28,44.07,47.02,23.01,62.80,76,76,66,42,2237.91,2164.00,2063.50,2292.50,1714.00,2019-01-28,3000.00,2018-10-03,2074.88,2763.00,2091.30,2135.19,2027.36,1966.00,2144.09,2133.80,2304.79,2703.70,68.72,53.75,23.87,69.91,18.74,45.81,61.37,57.63,21.22,12.81,54.76,13.06
2019/2020,2019-10-23,2019-11-07,2020-05-17,192.00,88.37,2019-11-18,46.52,57.87,11.50,70.97,76,68,61,52,2234.82,2125.00,1981.00,2398.00,1809.00,2019-11-18,3000.00,2019-10-03,2039.62,2713.50,1926.91,1982.11,2033.92,2072.82,2084.89,2189.62,2401.36,2899.67,64.51,55.98,28.56,71.38,21.16,45.17,61.88,59.94,26.09,14.23,53.62,17.45
2020/2021,2020-10-09,2020-10-09,2021-05-12,215.00,96.24,2021-01-10,42.81,47.86,7.74,71.88,77,67,62,43,2240.64,2201.00,1970.00,2412.00,1660.00,2021-01-10,3000.00,2021-06-04,2013.88,2182.61,2462.00,1829.10,1827.89,2058.50,2169.39,2186.45,2342.50,3000.00,61.42,48.18,27.08,65.56,20.51,42.32,54.99,56.35,24.02,16.20,49.81,17.19
2021/2022,2021-11-01,2021-11-01,2022-05-12,192.00,97.69,2021-12-09,44.15,51.28,6.73,71.04,76,71,66,52,2225.18,2109.25,1907.12,2363.50,1639.00,2022-06-03,3000.00,2021-10-07,1977.34,2872.50,2080.11,1813.87,1943.25,2048.15,2134.70,2136.17,2347.58,2746.00,64.80,51.07,29.20,62.71,26.29,43.95,57.61,53.40,27.93,23.60,52.28,21.49
