ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description,Temporada,Fuente_csv,Error,Tif_logico,Ruta_tif,Nieve_km2,Nieve_pct_Andorra,Tierra_km2,Tierra_pct_Andorra,Nubes_km2,Nubes_pct_Andorra,Snowline_final_p20_m,Nieve_Arbolado_Denso_km2,Nieve_Arbolado_Denso_pct,Pct_cob_nevada_Arbolado_Denso,Nieve_Cultivos_km2,Nieve_Cultivos_pct,Pct_cob_nevada_Cultivos,Nieve_Vias_Comunicacion_km2,Nieve_Vias_Comunicacion_pct,Pct_cob_nevada_Vias_Comunicacion,Nieve_Matorrales_km2,Nieve_Matorrales_pct,Pct_cob_nevada_Matorrales,Nieve_Zonas_Desnudas_km2,Nieve_Zonas_Desnudas_pct,Pct_cob_nevada_Zonas_Desnudas,Nieve_Prados_km2,Nieve_Prados_pct,Pct_cob_nevada_Prados,Nieve_Roquedos_km2,Nieve_Roquedos_pct,Pct_cob_nevada_Roquedos,Nieve_Zonas_Deportivas_km2,Nieve_Zonas_Deportivas_pct,Pct_cob_nevada_Zonas_Deportivas,Nieve_Canchales_km2,Nieve_Canchales_pct,Pct_cob_nevada_Canchales,Nieve_Zonas_Urbanas_km2,Nieve_Zonas_Urbanas_pct,Pct_cob_nevada_Zonas_Urbanas,Nieve_Arbolado_Claro_km2,Nieve_Arbolado_Claro_pct,Pct_cob_nevada_Arbolado_Claro,Nieve_Aguas_km2,Nieve_Aguas_pct,Pct_cob_nevada_Aguas
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20130423,2013-04-23,2013-04-23,LANDSAT_8,10.06,10.06,0.36,0.36,0.36,0.36,,,0.00,2013_04_23-Landsat8,2012-2013,Tabla_Nubes_Snowline_2012_2013.csv,,2013_04_23-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2013_04_23-Landsat8.tif,293.82,62.99,173.45,37.18,1.85,0.40,2103,69.74,23.73,36.97,0.93,0.32,11.66,0.64,0.22,23.44,27.18,9.25,62.66,2.71,0.92,68.60,102.86,35.01,87.89,26.74,9.10,83.64,0.00,0.00,0.00,57.31,19.50,94.63,0.46,0.16,6.54,1.72,0.58,87.23,1.75,0.60,86.74
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20130525,2013-05-25,2013-05-25,LANDSAT_8,12.94,12.94,0.74,0.74,0.74,0.74,,,0.00,2013_05_25-Landsat8,2012-2013,Tabla_Nubes_Snowline_2012_2013.csv,,2013_05_25-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2013_05_25-Landsat8.tif,265.31,56.88,200.39,42.96,3.42,0.73,2166,53.68,20.23,28.45,0.27,0.10,3.41,0.33,0.13,12.25,25.52,9.62,58.81,2.45,0.92,62.00,95.06,35.83,81.23,26.49,9.99,82.88,0.00,0.00,0.00,56.63,21.35,93.52,0.16,0.06,2.20,1.34,0.50,67.81,1.75,0.66,86.57
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20130626,2013-06-26,2013-06-26,LANDSAT_8,11.96,11.96,0.60,0.60,0.60,0.60,,,0.00,2013_06_26-Landsat8,2012-2013,Tabla_Nubes_Snowline_2012_2013.csv,,2013_06_26-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2013_06_26-Landsat8.tif,76.41,16.38,389.63,83.53,3.08,0.66,2366,0.69,0.90,0.37,0.00,0.00,0.00,0.05,0.07,1.99,4.69,6.13,10.80,0.89,1.17,22.53,24.73,32.36,21.13,14.45,18.91,45.20,0.00,0.00,0.00,28.51,37.31,47.08,0.03,0.03,0.36,0.05,0.07,2.70,1.52,1.99,75.32
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20131016,2013-10-16,2013-10-16,LANDSAT_8,14.93,14.93,3.34,1.90,1.78,0.31,1607.00,1623.00,1.00,2013_10_16-Landsat8,2013-2014,Tabla_Nubes_Snowline_2013_2014.csv,,2013_10_16-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2013_10_16-Landsat8.tif,97.48,20.90,370.28,79.38,1.37,0.29,1614,59.87,61.42,31.74,0.29,0.30,3.66,0.43,0.44,15.83,6.40,6.56,14.74,0.23,0.24,5.92,8.25,8.46,7.05,7.92,8.12,24.77,0.00,0.00,0.73,11.67,11.98,19.28,0.81,0.83,11.46,0.16,0.17,8.27,1.06,1.09,52.47
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20131101,2013-11-01,2013-11-01,LANDSAT_8,100.00,100.00,93.90,91.12,91.12,0.97,2187.00,2203.00,4.00,2013_11_01-Landsat8,2013-2014,Tabla_Nubes_Snowline_2013_2014.csv,,2013_11_01-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2013_11_01-Landsat8.tif,51.73,11.09,412.91,88.52,4.49,0.96,2166,8.44,16.32,4.48,0.00,0.01,0.04,0.24,0.46,8.67,4.35,8.41,10.03,1.40,2.71,35.44,19.03,36.79,16.26,7.15,13.82,22.36,0.00,0.00,0.00,9.85,19.05,16.27,0.04,0.08,0.57,0.21,0.41,10.74,0.35,0.68,17.49
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20131203,2013-12-03,2013-12-03,LANDSAT_8,0.89,0.89,0.89,0.89,0.89,0.89,,,0.00,2013_12_03-Landsat8,2013-2014,Tabla_Nubes_Snowline_2013_2014.csv,,2013_12_03-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2013_12_03-Landsat8.tif,427.97,91.75,36.92,7.91,4.21,0.90,1759,165.04,38.56,87.49,7.02,1.64,87.66,2.48,0.58,91.41,35.92,8.39,82.78,3.69,0.86,93.32,114.30,26.71,97.67,29.50,6.89,92.29,0.11,0.03,90.35,58.47,13.66,96.55,5.62,1.31,79.34,1.94,0.45,98.66,1.92,0.45,95.27
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140309,2014-03-09,2014-03-09,LANDSAT_8,8.66,8.66,0.33,0.33,0.33,0.33,,,0.00,2014_03_09-Landsat8,2013-2014,Tabla_Nubes_Snowline_2013_2014.csv,,2014_03_09-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2014_03_09-Landsat8.tif,410.18,87.94,57.30,12.29,1.64,0.35,1826,152.69,37.22,80.94,5.09,1.24,63.55,2.05,0.50,75.59,34.51,8.41,79.55,3.44,0.84,87.04,114.09,27.81,97.49,29.62,7.22,92.65,0.07,0.02,60.48,59.40,14.48,98.08,3.52,0.86,49.71,1.92,0.47,97.56,1.81,0.44,89.64
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140410,2014-04-10,2014-04-10,LANDSAT_8,9.04,9.04,0.29,0.29,0.29,0.29,,,0.00,2014_04_10-Landsat8,2013-2014,Tabla_Nubes_Snowline_2013_2014.csv,,2014_04_10-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2014_04_10-Landsat8.tif,308.74,66.19,158.95,34.08,1.44,0.31,2071,77.36,25.06,41.01,1.15,0.37,14.34,0.74,0.24,27.28,28.83,9.34,66.44,2.80,0.91,70.90,107.14,34.70,91.55,27.05,8.76,84.63,0.00,0.00,0.00,57.79,18.72,95.43,0.57,0.18,8.05,1.77,0.57,89.74,1.75,0.57,86.65
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140512,2014-05-12,2014-05-12,LANDSAT_8,61.92,61.92,20.18,16.20,12.89,0.25,2183.00,2183.00,3.00,2014_05_12-Landsat8,2013-2014,Tabla_Nubes_Snowline_2013_2014.csv,,2014_05_12-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2014_05_12-Landsat8.tif,239.84,51.42,228.13,48.91,1.15,0.25,2185,43.71,18.22,23.17,0.61,0.25,7.60,0.49,0.21,18.11,22.09,9.21,50.92,2.50,1.04,63.18,86.38,36.02,73.81,25.91,10.80,81.05,0.00,0.00,0.00,53.36,22.25,88.11,0.66,0.27,9.26,0.95,0.40,48.21,1.78,0.74,88.17
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20141003,2014-10-03,2014-10-03,LANDSAT_8,6.10,6.10,0.71,0.71,0.71,0.71,,,0.00,2014_10_03-Landsat8,2014-2015,Tabla_Nubes_Snowline_2014_2015.csv,,2014_10_03-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2014_10_03-Landsat8.tif,59.89,12.84,406.04,87.05,3.20,0.69,1580,41.63,69.50,22.07,0.02,0.03,0.25,0.15,0.25,5.53,1.85,3.08,4.26,0.16,0.26,4.01,2.15,3.59,1.84,4.39,7.33,13.73,0.00,0.00,0.73,7.86,13.12,12.97,0.41,0.68,5.77,0.11,0.18,5.44,0.95,1.59,47.25
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20141019,2014-10-19,2014-10-19,LANDSAT_8,82.16,82.16,63.57,61.81,61.59,0.22,1523.00,1571.00,3.00,2014_10_19-Landsat8,2014-2015,Tabla_Nubes_Snowline_2014_2015.csv,,2014_10_19-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2014_10_19-Landsat8.tif,24.45,5.24,443.69,95.12,0.99,0.21,1525,16.15,66.08,8.56,0.25,1.04,3.18,0.19,0.79,7.12,0.40,1.63,0.92,0.16,0.64,3.94,0.57,2.33,0.49,2.13,8.73,6.67,0.01,0.04,8.74,3.72,15.21,6.14,0.45,1.83,6.32,0.00,0.01,0.09,0.27,1.10,13.34
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20141120,2014-11-20,2014-11-20,LANDSAT_8,11.80,11.80,0.49,0.49,0.49,0.49,,,0.00,2014_11_20-Landsat8,2014-2015,Tabla_Nubes_Snowline_2014_2015.csv,,2014_11_20-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2014_11_20-Landsat8.tif,288.54,61.86,178.11,38.18,2.48,0.53,1825,106.05,36.75,56.22,1.56,0.54,19.50,1.15,0.40,42.45,19.80,6.86,45.63,2.87,1.00,72.61,73.74,25.55,63.00,22.63,7.84,70.80,0.02,0.01,13.12,53.30,18.47,88.01,3.04,1.05,42.99,0.89,0.31,45.19,1.85,0.64,91.83
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20141222,2014-12-22,2014-12-22,LANDSAT_8,1.50,1.50,0.10,0.10,0.10,0.10,,,0.00,2014_12_22-Landsat8,2014-2015,Tabla_Nubes_Snowline_2014_2015.csv,,2014_12_22-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2014_12_22-Landsat8.tif,374.18,80.22,94.45,20.25,0.49,0.10,1840,133.33,35.63,70.68,3.90,1.04,48.68,1.84,0.49,67.68,30.03,8.03,69.22,3.28,0.88,82.94,106.90,28.57,91.34,26.66,7.12,83.40,0.06,0.02,48.09,57.99,15.50,95.76,4.60,1.23,64.98,1.79,0.48,90.75,1.94,0.52,96.34
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150107,2015-01-07,2015-01-07,LANDSAT_8,7.87,7.87,0.35,0.35,0.35,0.35,,,0.00,2015_01_07-Landsat8,2014-2015,Tabla_Nubes_Snowline_2014_2015.csv,,2015_01_07-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2015_01_07-Landsat8.tif,384.56,82.45,82.78,17.75,1.78,0.38,1806,138.40,35.99,73.37,5.43,1.41,67.82,2.24,0.58,82.28,30.35,7.89,69.96,3.53,0.92,89.33,108.24,28.15,92.49,26.90,7.00,84.16,0.12,0.03,96.91,57.93,15.06,95.65,5.78,1.50,81.71,1.80,0.47,91.30,1.97,0.51,97.68
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150208,2015-02-08,2015-02-08,LANDSAT_8,0.15,0.15,0.15,0.15,0.15,0.15,,,0.00,2015_02_08-Landsat8,2014-2015,Tabla_Nubes_Snowline_2014_2015.csv,,2015_02_08-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2015_02_08-Landsat8.tif,452.07,96.92,16.35,3.50,0.71,0.15,1698,180.08,39.83,95.46,7.29,1.61,91.00,2.55,0.56,93.80,39.33,8.70,90.65,3.79,0.84,95.80,115.94,25.65,99.06,31.17,6.89,97.51,0.09,0.02,76.51,59.93,13.26,98.96,5.99,1.33,84.64,1.96,0.43,99.34,1.91,0.42,94.69
